id,title,abstract
13,Prediksi Risiko Kredit Menggunakan Metode Decision Tree pada data berita online,Penelitian ini bertujuan untuk melakukan prediksi risiko kredit dengan memanfaatkan metode Decision Tree. Dataset yang digunakan berasal dari berbagai sumber pada data berita online. Metode Decision Tree diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
14,Analisis Sentimen Media Sosial Menggunakan Metode Convolutional Neural Network pada sistem e‑commerce,Penelitian ini bertujuan untuk melakukan analisis sentimen media sosial dengan memanfaatkan metode Convolutional Neural Network. Dataset yang digunakan berasal dari berbagai sumber pada sistem e‑commerce. Metode Convolutional Neural Network diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
15,Prediksi Penjualan Toko Online Menggunakan Metode LightGBM pada data berita online,Penelitian ini bertujuan untuk melakukan prediksi penjualan toko online dengan memanfaatkan metode LightGBM. Dataset yang digunakan berasal dari berbagai sumber pada data berita online. Metode LightGBM diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
16,Prediksi Penjualan Toko Online Menggunakan Metode Convolutional Neural Network pada data kesehatan,Penelitian ini bertujuan untuk melakukan prediksi penjualan toko online dengan memanfaatkan metode Convolutional Neural Network. Dataset yang digunakan berasal dari berbagai sumber pada data kesehatan. Metode Convolutional Neural Network diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
17,Deteksi Serangan Jaringan Menggunakan Metode Support Vector Machine pada data transaksi keuangan,Penelitian ini bertujuan untuk melakukan deteksi serangan jaringan dengan memanfaatkan metode Support Vector Machine. Dataset yang digunakan berasal dari berbagai sumber pada data transaksi keuangan. Metode Support Vector Machine diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
18,Sistem Rekomendasi Film Menggunakan Metode Decision Tree pada data transaksi keuangan,Penelitian ini bertujuan untuk melakukan sistem rekomendasi film dengan memanfaatkan metode Decision Tree. Dataset yang digunakan berasal dari berbagai sumber pada data transaksi keuangan. Metode Decision Tree diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
19,Deteksi Penipuan Transaksi Menggunakan Metode Decision Tree pada dataset ulasan pengguna,Penelitian ini bertujuan untuk melakukan deteksi penipuan transaksi dengan memanfaatkan metode Decision Tree. Dataset yang digunakan berasal dari berbagai sumber pada dataset ulasan pengguna. Metode Decision Tree diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
20,Analisis Topik Dokumen Berita Menggunakan Metode XGBoost pada data transportasi perkotaan,Penelitian ini bertujuan untuk melakukan analisis topik dokumen berita dengan memanfaatkan metode XGBoost. Dataset yang digunakan berasal dari berbagai sumber pada data transportasi perkotaan. Metode XGBoost diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
21,Prediksi Cuaca Menggunakan Metode Deep Learning pada data transaksi keuangan,Penelitian ini bertujuan untuk melakukan prediksi cuaca dengan memanfaatkan metode Deep Learning. Dataset yang digunakan berasal dari berbagai sumber pada data transaksi keuangan. Metode Deep Learning diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
22,Sistem Deteksi Spam Email Menggunakan Metode DBSCAN pada dataset media sosial,Penelitian ini bertujuan untuk melakukan sistem deteksi spam email dengan memanfaatkan metode DBSCAN. Dataset yang digunakan berasal dari berbagai sumber pada dataset media sosial. Metode DBSCAN diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
23,Prediksi Harga Rumah Menggunakan Metode LightGBM pada data jaringan komputer,Penelitian ini bertujuan untuk melakukan prediksi harga rumah dengan memanfaatkan metode LightGBM. Dataset yang digunakan berasal dari berbagai sumber pada data jaringan komputer. Metode LightGBM diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
24,Analisis Pola Transportasi Kota Menggunakan Metode DBSCAN pada sistem e‑commerce,Penelitian ini bertujuan untuk melakukan analisis pola transportasi kota dengan memanfaatkan metode DBSCAN. Dataset yang digunakan berasal dari berbagai sumber pada sistem e‑commerce. Metode DBSCAN diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
25,Analisis Sentimen Ulasan Aplikasi Menggunakan Metode LightGBM pada data transaksi keuangan,Penelitian ini bertujuan untuk melakukan analisis sentimen ulasan aplikasi dengan memanfaatkan metode LightGBM. Dataset yang digunakan berasal dari berbagai sumber pada data transaksi keuangan. Metode LightGBM diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
26,Prediksi Risiko Kredit Menggunakan Metode XGBoost pada data jaringan komputer,Penelitian ini bertujuan untuk melakukan prediksi risiko kredit dengan memanfaatkan metode XGBoost. Dataset yang digunakan berasal dari berbagai sumber pada data jaringan komputer. Metode XGBoost diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
27,Klasifikasi Gambar Medis Menggunakan Metode Gradient Boosting pada dataset ulasan pengguna,Penelitian ini bertujuan untuk melakukan klasifikasi gambar medis dengan memanfaatkan metode Gradient Boosting. Dataset yang digunakan berasal dari berbagai sumber pada dataset ulasan pengguna. Metode Gradient Boosting diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
28,Clustering Data Mahasiswa Menggunakan Metode DBSCAN pada dataset media sosial,Penelitian ini bertujuan untuk melakukan clustering data mahasiswa dengan memanfaatkan metode DBSCAN. Dataset yang digunakan berasal dari berbagai sumber pada dataset media sosial. Metode DBSCAN diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
29,Analisis Sentimen Media Sosial Menggunakan Metode XGBoost pada data kesehatan,Penelitian ini bertujuan untuk melakukan analisis sentimen media sosial dengan memanfaatkan metode XGBoost. Dataset yang digunakan berasal dari berbagai sumber pada data kesehatan. Metode XGBoost diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
30,Sistem Deteksi Spam Email Menggunakan Metode TF‑IDF dan Cosine Similarity pada dataset ulasan pengguna,Penelitian ini bertujuan untuk melakukan sistem deteksi spam email dengan memanfaatkan metode TF‑IDF dan Cosine Similarity. Dataset yang digunakan berasal dari berbagai sumber pada dataset ulasan pengguna. Metode TF‑IDF dan Cosine Similarity diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
31,Prediksi Harga Rumah Menggunakan Metode LightGBM pada sistem e‑commerce,Penelitian ini bertujuan untuk melakukan prediksi harga rumah dengan memanfaatkan metode LightGBM. Dataset yang digunakan berasal dari berbagai sumber pada sistem e‑commerce. Metode LightGBM diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
32,Prediksi Penjualan Toko Online Menggunakan Metode Gradient Boosting pada data berita online,Penelitian ini bertujuan untuk melakukan prediksi penjualan toko online dengan memanfaatkan metode Gradient Boosting. Dataset yang digunakan berasal dari berbagai sumber pada data berita online. Metode Gradient Boosting diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
33,Deteksi Berita Hoaks Menggunakan Metode Logistic Regression pada data transportasi perkotaan,Penelitian ini bertujuan untuk melakukan deteksi berita hoaks dengan memanfaatkan metode Logistic Regression. Dataset yang digunakan berasal dari berbagai sumber pada data transportasi perkotaan. Metode Logistic Regression diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
34,Clustering Data Mahasiswa Menggunakan Metode Support Vector Machine pada data jaringan komputer,Penelitian ini bertujuan untuk melakukan clustering data mahasiswa dengan memanfaatkan metode Support Vector Machine. Dataset yang digunakan berasal dari berbagai sumber pada data jaringan komputer. Metode Support Vector Machine diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
35,Rekomendasi Produk E‑Commerce Menggunakan Metode Random Forest pada data kesehatan,Penelitian ini bertujuan untuk melakukan rekomendasi produk e‑commerce dengan memanfaatkan metode Random Forest. Dataset yang digunakan berasal dari berbagai sumber pada data kesehatan. Metode Random Forest diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
36,Analisis Sentimen Media Sosial Menggunakan Metode Decision Tree pada data citra medis,Penelitian ini bertujuan untuk melakukan analisis sentimen media sosial dengan memanfaatkan metode Decision Tree. Dataset yang digunakan berasal dari berbagai sumber pada data citra medis. Metode Decision Tree diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
37,Rekomendasi Produk E‑Commerce Menggunakan Metode DBSCAN pada data kesehatan,Penelitian ini bertujuan untuk melakukan rekomendasi produk e‑commerce dengan memanfaatkan metode DBSCAN. Dataset yang digunakan berasal dari berbagai sumber pada data kesehatan. Metode DBSCAN diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
38,Rekomendasi Produk E‑Commerce Menggunakan Metode Logistic Regression pada data transaksi keuangan,Penelitian ini bertujuan untuk melakukan rekomendasi produk e‑commerce dengan memanfaatkan metode Logistic Regression. Dataset yang digunakan berasal dari berbagai sumber pada data transaksi keuangan. Metode Logistic Regression diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
39,Klasifikasi Penyakit Jantung Menggunakan Metode Random Forest pada dataset ulasan pengguna,Penelitian ini bertujuan untuk melakukan klasifikasi penyakit jantung dengan memanfaatkan metode Random Forest. Dataset yang digunakan berasal dari berbagai sumber pada dataset ulasan pengguna. Metode Random Forest diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
40,Klasifikasi Penyakit Jantung Menggunakan Metode XGBoost pada data transaksi keuangan,Penelitian ini bertujuan untuk melakukan klasifikasi penyakit jantung dengan memanfaatkan metode XGBoost. Dataset yang digunakan berasal dari berbagai sumber pada data transaksi keuangan. Metode XGBoost diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
41,Pengenalan Wajah Menggunakan Metode XGBoost pada data jaringan komputer,Penelitian ini bertujuan untuk melakukan pengenalan wajah dengan memanfaatkan metode XGBoost. Dataset yang digunakan berasal dari berbagai sumber pada data jaringan komputer. Metode XGBoost diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
42,Deteksi Serangan Jaringan Menggunakan Metode K‑Nearest Neighbor pada data transportasi perkotaan,Penelitian ini bertujuan untuk melakukan deteksi serangan jaringan dengan memanfaatkan metode K‑Nearest Neighbor. Dataset yang digunakan berasal dari berbagai sumber pada data transportasi perkotaan. Metode K‑Nearest Neighbor diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
43,Clustering Data Mahasiswa Menggunakan Metode Gradient Boosting pada data transportasi perkotaan,Penelitian ini bertujuan untuk melakukan clustering data mahasiswa dengan memanfaatkan metode Gradient Boosting. Dataset yang digunakan berasal dari berbagai sumber pada data transportasi perkotaan. Metode Gradient Boosting diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
44,Deteksi Penipuan Transaksi Menggunakan Metode Gradient Boosting pada data akademik universitas,Penelitian ini bertujuan untuk melakukan deteksi penipuan transaksi dengan memanfaatkan metode Gradient Boosting. Dataset yang digunakan berasal dari berbagai sumber pada data akademik universitas. Metode Gradient Boosting diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
45,Analisis Sentimen Media Sosial Menggunakan Metode Gradient Boosting pada dataset ulasan pengguna,Penelitian ini bertujuan untuk melakukan analisis sentimen media sosial dengan memanfaatkan metode Gradient Boosting. Dataset yang digunakan berasal dari berbagai sumber pada dataset ulasan pengguna. Metode Gradient Boosting diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
46,Prediksi Cuaca Menggunakan Metode Naive Bayes pada dataset media sosial,Penelitian ini bertujuan untuk melakukan prediksi cuaca dengan memanfaatkan metode Naive Bayes. Dataset yang digunakan berasal dari berbagai sumber pada dataset media sosial. Metode Naive Bayes diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
47,Analisis Topik Dokumen Berita Menggunakan Metode LightGBM pada data jaringan komputer,Penelitian ini bertujuan untuk melakukan analisis topik dokumen berita dengan memanfaatkan metode LightGBM. Dataset yang digunakan berasal dari berbagai sumber pada data jaringan komputer. Metode LightGBM diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
48,Prediksi Cuaca Menggunakan Metode DBSCAN pada data berita online,Penelitian ini bertujuan untuk melakukan prediksi cuaca dengan memanfaatkan metode DBSCAN. Dataset yang digunakan berasal dari berbagai sumber pada data berita online. Metode DBSCAN diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
49,Clustering Data Mahasiswa Menggunakan Metode Support Vector Machine pada data akademik universitas,Penelitian ini bertujuan untuk melakukan clustering data mahasiswa dengan memanfaatkan metode Support Vector Machine. Dataset yang digunakan berasal dari berbagai sumber pada data akademik universitas. Metode Support Vector Machine diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
50,Analisis Kinerja Akademik Mahasiswa Menggunakan Metode K‑Means pada data jaringan komputer,Penelitian ini bertujuan untuk melakukan analisis kinerja akademik mahasiswa dengan memanfaatkan metode K‑Means. Dataset yang digunakan berasal dari berbagai sumber pada data jaringan komputer. Metode K‑Means diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
51,Prediksi Risiko Kredit Menggunakan Metode Deep Learning pada data kesehatan,Penelitian ini bertujuan untuk melakukan prediksi risiko kredit dengan memanfaatkan metode Deep Learning. Dataset yang digunakan berasal dari berbagai sumber pada data kesehatan. Metode Deep Learning diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
52,Klasifikasi Gambar Medis Menggunakan Metode K‑Means pada data transportasi perkotaan,Penelitian ini bertujuan untuk melakukan klasifikasi gambar medis dengan memanfaatkan metode K‑Means. Dataset yang digunakan berasal dari berbagai sumber pada data transportasi perkotaan. Metode K‑Means diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
53,Analisis Topik Dokumen Berita Menggunakan Metode Random Forest pada data kesehatan,Penelitian ini bertujuan untuk melakukan analisis topik dokumen berita dengan memanfaatkan metode Random Forest. Dataset yang digunakan berasal dari berbagai sumber pada data kesehatan. Metode Random Forest diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
54,Prediksi Risiko Kredit Menggunakan Metode Gradient Boosting pada data berita online,Penelitian ini bertujuan untuk melakukan prediksi risiko kredit dengan memanfaatkan metode Gradient Boosting. Dataset yang digunakan berasal dari berbagai sumber pada data berita online. Metode Gradient Boosting diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
55,Deteksi Penipuan Transaksi Menggunakan Metode LightGBM pada data citra medis,Penelitian ini bertujuan untuk melakukan deteksi penipuan transaksi dengan memanfaatkan metode LightGBM. Dataset yang digunakan berasal dari berbagai sumber pada data citra medis. Metode LightGBM diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
56,Prediksi Risiko Kredit Menggunakan Metode LightGBM pada data akademik universitas,Penelitian ini bertujuan untuk melakukan prediksi risiko kredit dengan memanfaatkan metode LightGBM. Dataset yang digunakan berasal dari berbagai sumber pada data akademik universitas. Metode LightGBM diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
57,Analisis Sentimen Media Sosial Menggunakan Metode Decision Tree pada data transaksi keuangan,Penelitian ini bertujuan untuk melakukan analisis sentimen media sosial dengan memanfaatkan metode Decision Tree. Dataset yang digunakan berasal dari berbagai sumber pada data transaksi keuangan. Metode Decision Tree diterapkan untuk meningkatkan akurasi model dan menghasilkan sistem yang mampu membantu proses analisis data secara lebih efektif. Hasil penelitian menunjukkan bahwa pendekatan ini dapat memberikan performa yang baik dalam pengolahan dan analisis data.
